student_index,risk_score,actual_label,rank,feature,shap_value,feature_val,direction
25,0.0051,0,1,Age at enrollment,0.475,30.0,risk
25,0.0051,0,2,Scholarship holder,0.1416,0.0,risk
25,0.0051,0,3,Curricular units 2nd sem (credited),0.0991,3.0,risk
26,0.0129,0,1,Admission grade,0.3942,131.0,risk
26,0.0129,0,2,Scholarship holder,0.1411,0.0,risk
26,0.0129,0,3,Course,0.0942,11.0,risk
27,0.989,1,1,Total_Units_Failed,1.4961,12.0,risk
27,0.989,1,2,Approval_Rate_Sem2,1.4365,0.0,risk
27,0.989,1,3,Curricular units 2nd sem (evaluations),0.6566,0.0,risk
28,0.7801,0,1,Tuition fees up to date,2.4988,0.0,risk
28,0.7801,0,2,Financial_Risk_Score,0.426,2.0,risk
28,0.7801,0,3,Debtor,0.2649,1.0,risk
29,0.9851,1,1,Tuition fees up to date,2.6268,0.0,risk
29,0.9851,1,2,Approval_Rate_Sem2,0.6565,0.3333,risk
29,0.9851,1,3,GDP,0.4775,-0.92,risk
30,0.0488,1,1,Approval_Rate_Sem2,0.8376,0.0,risk
30,0.0488,1,2,Curricular units 2nd sem (approved),0.3405,0.0,risk
30,0.0488,1,3,Approval_Rate_Sem1,0.2186,0.0,risk
31,0.9642,1,1,Approval_Rate_Sem2,1.5307,0.0,risk
31,0.9642,1,2,Total_Units_Failed,0.9302,12.0,risk
31,0.9642,1,3,Curricular units 2nd sem (approved),0.3928,0.0,risk
32,0.356,1,1,Course,0.5742,15.0,risk
32,0.356,1,2,Approval_Rate_Trend,0.5194,-0.1476,risk
32,0.356,1,3,Age at enrollment,0.4408,28.0,risk
33,0.9618,1,1,Tuition fees up to date,2.1312,0.0,risk
33,0.9618,1,2,Approval_Rate_Sem2,0.7867,0.0,risk
33,0.9618,1,3,Age at enrollment,0.4881,25.0,risk
34,0.0142,0,1,Displaced,0.1888,1.0,risk
34,0.0142,0,2,Debtor,0.1843,1.0,risk
34,0.0142,0,3,Financial_Risk_Score,0.1685,1.0,risk
35,0.8391,1,1,Tuition fees up to date,2.6839,0.0,risk
35,0.8391,1,2,Father's occupation,0.4474,1.0,risk
35,0.8391,1,3,GDP,0.4267,-3.12,risk
36,0.0197,1,1,Course,0.5747,14.0,risk
36,0.0197,1,2,Curricular units 1st sem (evaluations),0.1522,6.0,risk
36,0.0197,1,3,Displaced,0.1277,1.0,risk
37,0.9985,1,1,Total_Units_Failed,1.5176,12.0,risk
37,0.9985,1,2,Approval_Rate_Sem2,1.5022,0.0,risk
37,0.9985,1,3,Curricular units 2nd sem (evaluations),0.7171,0.0,risk
38,0.9862,1,1,Approval_Rate_Sem2,0.9931,0.5,risk
38,0.9862,1,2,Father's occupation,0.975,0.0,risk
38,0.9862,1,3,Total_Units_Failed,0.5758,6.0,risk
39,0.1294,0,1,Course,0.6509,16.0,risk
39,0.1294,0,2,Avg_Grade,0.2228,11.3929,risk
39,0.1294,0,3,Age at enrollment,0.1835,24.0,risk
40,0.0069,0,1,Curricular units 1st sem (evaluations),0.1784,6.0,risk
40,0.0069,0,2,Application mode,0.1628,1.0,risk
40,0.0069,0,3,Previous qualification (grade),0.1601,115.0,risk
41,0.9324,1,1,Approval_Rate_Sem2,1.2333,0.2,risk
41,0.9324,1,2,Total_Units_Failed,0.9104,8.0,risk
41,0.9324,1,3,Curricular units 2nd sem (approved),0.4856,1.0,risk
42,0.0057,0,1,Application mode,0.2265,3.0,risk
42,0.0057,0,2,Curricular units 1st sem (without evaluations),0.1467,2.0,risk
42,0.0057,0,3,Curricular units 2nd sem (evaluations),0.1246,5.0,risk
43,0.0568,0,1,Previous qualification (grade),0.2361,137.0,risk
43,0.0568,0,2,Mother's qualification,0.2223,18.0,risk
43,0.0568,0,3,Course,0.1791,11.0,risk
44,0.6212,1,1,Age at enrollment,0.5577,31.0,risk
44,0.6212,1,2,Course,0.5012,13.0,risk
44,0.6212,1,3,Previous qualification (grade),0.2583,120.0,risk
45,0.0027,0,1,Mother's qualification,0.4252,3.0,risk
45,0.0027,0,2,Inflation rate,0.0701,1.4,risk
45,0.0027,0,3,Curricular units 1st sem (evaluations),0.0488,6.0,risk
46,0.0326,0,1,Admission grade,0.2663,129.9,risk
46,0.0326,0,2,Scholarship holder,0.1901,0.0,risk
46,0.0326,0,3,Mother's qualification,0.1054,17.0,risk
47,0.0338,0,1,Course,0.617,14.0,risk
47,0.0338,0,2,Curricular units 2nd sem (grade),0.3269,11.0,risk
47,0.0338,0,3,Avg_Grade,0.1885,11.25,risk
48,0.9769,1,1,Tuition fees up to date,1.9141,0.0,risk
48,0.9769,1,2,Approval_Rate_Sem2,0.7741,0.5,risk
48,0.9769,1,3,Total_Units_Failed,0.535,6.0,risk
49,0.0177,0,1,Father's occupation,0.2574,2.0,risk
49,0.0177,0,2,Inflation rate,0.2436,0.6,risk
49,0.0177,0,3,Mother's occupation,0.1477,23.0,risk
50,0.9702,1,1,Approval_Rate_Sem2,1.4045,0.0,risk
50,0.9702,1,2,Total_Units_Failed,1.1781,12.0,risk
50,0.9702,1,3,Curricular units 2nd sem (approved),0.5619,0.0,risk
51,0.9971,1,1,Tuition fees up to date,2.2752,0.0,risk
51,0.9971,1,2,Approval_Rate_Sem2,0.9549,0.0,risk
51,0.9971,1,3,Total_Units_Failed,0.5875,10.0,risk
52,0.9983,1,1,Tuition fees up to date,2.2027,0.0,risk
52,0.9983,1,2,Approval_Rate_Sem2,0.763,0.2,risk
52,0.9983,1,3,Total_Units_Failed,0.5689,7.0,risk
53,0.0122,0,1,Course,0.3535,13.0,risk
53,0.0122,0,2,Unemployment rate,0.1521,12.4,risk
53,0.0122,0,3,Previous qualification (grade),0.116,118.0,risk
54,0.0286,0,1,Course,0.4973,14.0,risk
54,0.0286,0,2,Admission grade,0.1525,127.9,risk
54,0.0286,0,3,Previous qualification (grade),0.1351,137.0,risk
55,0.8976,1,1,Approval_Rate_Sem2,1.011,0.1667,risk
55,0.8976,1,2,Total_Units_Failed,0.78,8.0,risk
55,0.8976,1,3,Age at enrollment,0.4745,28.0,risk
56,0.0076,0,1,Scholarship holder,0.1567,0.0,risk
56,0.0076,0,2,Admission grade,0.1126,132.8,risk
56,0.0076,0,3,Course,0.1084,11.0,risk
57,0.0206,0,1,Approval_Rate_Sem1,0.3327,0.7143,risk
57,0.0206,0,2,Age at enrollment,0.2895,25.0,risk
57,0.0206,0,3,Course,0.1552,12.0,risk
58,0.0306,0,1,Approval_Rate_Sem1,0.4622,0.75,risk
58,0.0306,0,2,Mother's qualification,0.1882,17.0,risk
58,0.0306,0,3,Approval_Rate_Sem2,0.1731,0.75,risk
59,0.5189,0,1,Approval_Rate_Sem2,1.0948,0.3333,risk
59,0.5189,0,2,Total_Units_Failed,0.6718,7.0,risk
59,0.5189,0,3,Approval_Rate_Trend,0.3781,-0.1667,risk
60,0.9884,1,1,Tuition fees up to date,2.0349,0.0,risk
60,0.9884,1,2,Approval_Rate_Sem2,1.0748,0.1429,risk
60,0.9884,1,3,Total_Units_Failed,0.7308,13.0,risk
61,0.5548,0,1,Approval_Rate_Sem2,0.8932,0.0,risk
61,0.5548,0,2,Approval_Rate_Sem1,0.3857,0.0,risk
61,0.5548,0,3,Previous qualification (grade),0.3811,163.0,risk
62,0.2497,0,1,Approval_Rate_Sem2,0.9286,0.4,risk
62,0.2497,0,2,Approval_Rate_Sem1,0.4213,0.6,risk
62,0.2497,0,3,Application mode,0.1694,4.0,risk
63,0.0374,0,1,Course,0.5997,13.0,risk
63,0.0374,0,2,Unemployment rate,0.295,11.1,risk
63,0.0374,0,3,Admission grade,0.2563,132.6,risk
64,0.181,0,1,Course,0.6639,13.0,risk
64,0.181,0,2,Admission grade,0.3193,131.3,risk
64,0.181,0,3,Grade_Drop,0.2253,-0.1667,risk
65,0.0388,0,1,Mother's occupation,0.7641,0.0,risk
65,0.0388,0,2,Father's occupation,0.7404,0.0,risk
65,0.0388,0,3,Admission grade,0.1356,122.1,risk
66,0.0361,0,1,Approval_Rate_Trend,0.4061,-0.125,risk
66,0.0361,0,2,Course,0.2404,12.0,risk
66,0.0361,0,3,Financial_Risk_Score,0.1695,1.0,risk
67,0.0343,1,1,Approval_Rate_Sem1,0.3239,0.75,risk
67,0.0343,1,2,Unemployment rate,0.17,12.7,risk
67,0.0343,1,3,Scholarship holder,0.1541,0.0,risk
68,0.0224,0,1,Approval_Rate_Trend,0.5473,-0.125,risk
68,0.0224,0,2,Course,0.3421,12.0,risk
68,0.0224,0,3,Age at enrollment,0.2529,25.0,risk
69,0.1772,0,1,Approval_Rate_Trend,0.5959,-0.125,risk
69,0.1772,0,2,Inflation rate,0.4155,0.6,risk
69,0.1772,0,3,Unemployment rate,0.2787,11.1,risk
70,0.0061,0,1,Scholarship holder,0.1649,0.0,risk
70,0.0061,0,2,Course,0.1222,11.0,risk
70,0.0061,0,3,Curricular units 1st sem (evaluations),0.1119,8.0,risk
71,0.8946,1,1,Tuition fees up to date,1.9376,0.0,risk
71,0.8946,1,2,Total_Units_Failed,0.5411,8.0,risk
71,0.8946,1,3,Course,0.4742,16.0,risk
72,0.3418,0,1,Approval_Rate_Sem2,0.8475,0.4,risk
72,0.3418,0,2,Total_Units_Failed,0.555,8.0,risk
72,0.3418,0,3,Approval_Rate_Sem1,0.1359,0.0,risk
73,0.9776,1,1,Approval_Rate_Sem2,1.3733,0.0,risk
73,0.9776,1,2,Total_Units_Failed,0.8402,9.0,risk
73,0.9776,1,3,Curricular units 2nd sem (approved),0.397,0.0,risk
74,0.1742,1,1,Approval_Rate_Sem1,0.5103,0.7143,risk
74,0.1742,1,2,Mother's qualification,0.202,17.0,risk
74,0.1742,1,3,Scholarship holder,0.1879,0.0,risk
75,0.7995,1,1,Tuition fees up to date,2.3684,0.0,risk
75,0.7995,1,2,Approval_Rate_Trend,0.4509,-0.0143,risk
75,0.7995,1,3,Total_Units_Failed,0.4425,6.0,risk
76,0.0184,0,1,Scholarship holder,0.1838,0.0,risk
76,0.0184,0,2,Curricular units 1st sem (evaluations),0.1783,8.0,risk
76,0.0184,0,3,Mother's qualification,0.1776,17.0,risk
77,0.9986,1,1,Tuition fees up to date,2.1359,0.0,risk
77,0.9986,1,2,Approval_Rate_Sem2,0.9293,0.0,risk
77,0.9986,1,3,Age at enrollment,0.6596,31.0,risk
78,0.9918,1,1,Tuition fees up to date,2.3219,0.0,risk
78,0.9918,1,2,Approval_Rate_Sem2,0.8777,0.0,risk
78,0.9918,1,3,Total_Units_Failed,0.5256,10.0,risk
79,0.9964,1,1,Tuition fees up to date,3.0692,0.0,risk
79,0.9964,1,2,GDP,0.456,-3.12,risk
79,0.9964,1,3,Age at enrollment,0.4257,40.0,risk
80,0.0425,0,1,Approval_Rate_Sem2,0.5179,0.4,risk
80,0.0425,0,2,Approval_Rate_Sem1,0.3184,0.3333,risk
80,0.0425,0,3,Total_Units_Failed,0.2837,7.0,risk
81,0.0261,0,1,Inflation rate,0.2776,0.6,risk
81,0.0261,0,2,Unemployment rate,0.247,11.1,risk
81,0.0261,0,3,Father's qualification,0.2465,0.0,risk
82,0.0085,1,1,Approval_Rate_Trend,0.4518,-0.125,risk
82,0.0085,1,2,Scholarship holder,0.1392,0.0,risk
82,0.0085,1,3,Unemployment rate,0.133,15.5,risk
83,0.9994,1,1,Total_Units_Failed,1.4689,12.0,risk
83,0.9994,1,2,Approval_Rate_Sem2,1.424,0.0,risk
83,0.9994,1,3,Curricular units 2nd sem (evaluations),0.6278,0.0,risk
84,0.054,0,1,Course,0.6351,15.0,risk
84,0.054,0,2,Admission grade,0.3383,128.3,risk
84,0.054,0,3,Age at enrollment,0.2442,35.0,risk
85,0.6283,0,1,Mother's occupation,0.9668,0.0,risk
85,0.6283,0,2,Father's occupation,0.6362,0.0,risk
85,0.6283,0,3,Age at enrollment,0.6014,48.0,risk
86,0.8019,1,1,Total_Units_Failed,0.8159,7.0,risk
86,0.8019,1,2,Approval_Rate_Sem2,0.5047,0.6364,risk
86,0.8019,1,3,Approval_Rate_Trend,0.4889,-0.1329,risk
87,0.0063,0,1,Age at enrollment,0.265,26.0,risk
87,0.0063,0,2,Curricular units 2nd sem (grade),0.2161,10.9833,risk
87,0.0063,0,3,Previous qualification,0.1266,5.0,risk
88,0.0137,0,1,Age at enrollment,0.2085,24.0,risk
88,0.0137,0,2,Unemployment rate,0.1698,12.7,risk
88,0.0137,0,3,Scholarship holder,0.1583,0.0,risk
89,0.0076,0,1,Approval_Rate_Sem1,0.2671,0.6,risk
89,0.0076,0,2,Scholarship holder,0.1204,0.0,risk
89,0.0076,0,3,Father's occupation,0.0788,43.0,risk
90,0.9983,1,1,Tuition fees up to date,1.9866,0.0,risk
90,0.9983,1,2,Approval_Rate_Sem2,0.8603,0.0,risk
90,0.9983,1,3,Age at enrollment,0.6269,45.0,risk
91,0.2184,0,1,Approval_Rate_Sem1,0.4438,0.4,risk
91,0.2184,0,2,Financial_Risk_Score,0.3044,1.0,risk
91,0.2184,0,3,Debtor,0.2414,1.0,risk
92,0.5359,0,1,Tuition fees up to date,2.2259,0.0,risk
92,0.5359,0,2,Approval_Rate_Trend,0.2425,-0.3333,risk
92,0.5359,0,3,Approval_Rate_Sem2,0.2283,0.6667,risk
93,0.3367,0,1,Approval_Rate_Sem1,0.4311,0.5,risk
93,0.3367,0,2,Approval_Rate_Sem2,0.2992,0.6667,risk
93,0.3367,0,3,Course,0.1806,10.0,risk
94,0.0065,0,1,Father's occupation,0.2141,44.0,risk
94,0.0065,0,2,Approval_Rate_Trend,0.1105,-0.2,risk
94,0.0065,0,3,Mother's occupation,0.1035,30.0,risk
95,0.002,0,1,Scholarship holder,0.1308,0.0,risk
95,0.002,0,2,Inflation rate,0.1231,0.6,risk
95,0.002,0,3,Unemployment rate,0.1094,11.1,risk
96,0.0326,0,1,Mother's qualification,0.2138,14.0,risk
96,0.0326,0,2,Avg_Grade,0.201,11.4034,risk
96,0.0326,0,3,Curricular units 1st sem (without evaluations),0.1987,1.0,risk
97,0.9917,1,1,Approval_Rate_Sem2,1.5399,0.0,risk
97,0.9917,1,2,Total_Units_Failed,1.3212,12.0,risk
97,0.9917,1,3,Curricular units 2nd sem (evaluations),0.6744,0.0,risk
98,0.3307,0,1,Approval_Rate_Trend,0.3426,-0.4,risk
98,0.3307,0,2,Approval_Rate_Sem2,0.3075,0.6,risk
98,0.3307,0,3,Application mode,0.2525,4.0,risk
99,0.0196,0,1,Mother's qualification,0.1847,17.0,risk
99,0.0196,0,2,Scholarship holder,0.1741,0.0,risk
99,0.0196,0,3,Unemployment rate,0.1678,15.5,risk
100,0.1256,0,1,Age at enrollment,0.6396,53.0,risk
100,0.1256,0,2,Scholarship holder,0.1769,0.0,risk
100,0.1256,0,3,Application mode,0.1398,9.0,risk
101,0.04,0,1,Admission grade,0.3987,137.8,risk
101,0.04,0,2,Course,0.2725,14.0,risk
101,0.04,0,3,Previous qualification (grade),0.1947,150.0,risk
102,0.9254,0,1,Approval_Rate_Sem2,1.1706,0.25,risk
102,0.9254,0,2,Total_Units_Failed,0.9509,11.0,risk
102,0.9254,0,3,Age at enrollment,0.3596,25.0,risk
103,0.0829,0,1,Approval_Rate_Sem1,0.2798,0.6667,risk
103,0.0829,0,2,Application mode,0.2366,5.0,risk
103,0.0829,0,3,Curricular units 1st sem (evaluations),0.2348,8.0,risk
104,0.0118,0,1,Financial_Risk_Score,0.2696,1.0,risk
104,0.0118,0,2,Father's qualification,0.2303,0.0,risk
104,0.0118,0,3,Unemployment rate,0.1502,12.4,risk
105,0.998,1,1,Tuition fees up to date,2.4634,0.0,risk
105,0.998,1,2,Approval_Rate_Sem2,0.8062,0.0,risk
105,0.998,1,3,Total_Units_Failed,0.6126,15.0,risk
106,0.0027,0,1,Debtor,0.211,1.0,risk
106,0.0027,0,2,Financial_Risk_Score,0.166,1.0,risk
106,0.0027,0,3,Admission grade,0.1358,133.8,risk
107,0.2264,0,1,Course,0.3236,7.0,risk
107,0.2264,0,2,Approval_Rate_Trend,0.2422,-0.2,risk
107,0.2264,0,3,Curricular units 2nd sem (grade),0.1691,13.25,risk
108,0.6327,0,1,Course,0.6259,15.0,risk
108,0.6327,0,2,Approval_Rate_Sem2,0.3459,0.6667,risk
108,0.6327,0,3,Approval_Rate_Trend,0.3419,-0.1667,risk
109,0.7854,1,1,Tuition fees up to date,1.6073,0.0,risk
109,0.7854,1,2,Approval_Rate_Sem2,0.9628,0.0,risk
109,0.7854,1,3,Total_Units_Failed,0.5952,10.0,risk
110,0.2631,0,1,Approval_Rate_Sem1,0.4967,0.6667,risk
110,0.2631,0,2,Father's occupation,0.4803,1.0,risk
110,0.2631,0,3,Avg_Grade,0.2276,11.55,risk
111,0.0172,0,1,Previous qualification (grade),0.2743,115.0,risk
111,0.0172,0,2,Unemployment rate,0.2227,15.5,risk
111,0.0172,0,3,Curricular units 2nd sem (grade),0.205,10.7143,risk
112,0.1188,0,1,Approval_Rate_Trend,0.8551,-0.0769,risk
112,0.1188,0,2,Age at enrollment,0.4305,53.0,risk
112,0.1188,0,3,Curricular units 1st sem (credited),0.2369,14.0,risk
113,0.8493,1,1,Approval_Rate_Sem2,1.0734,0.1667,risk
113,0.8493,1,2,Total_Units_Failed,0.7355,6.0,risk
113,0.8493,1,3,Course,0.4839,15.0,risk
114,0.0383,0,1,Mother's qualification,0.4897,3.0,risk
114,0.0383,0,2,Father's qualification,0.2932,0.0,risk
114,0.0383,0,3,Application mode,0.1753,4.0,risk
115,0.9585,1,1,Total_Units_Failed,1.291,14.0,risk
115,0.9585,1,2,Approval_Rate_Sem2,1.2531,0.0,risk
115,0.9585,1,3,Curricular units 2nd sem (approved),0.4167,0.0,risk
116,0.0288,0,1,Father's occupation,0.3942,1.0,risk
116,0.0288,0,2,Scholarship holder,0.1332,0.0,risk
116,0.0288,0,3,Displaced,0.1256,1.0,risk
117,0.9551,1,1,Approval_Rate_Sem2,1.002,0.5,risk
117,0.9551,1,2,Father's occupation,0.8963,0.0,risk
117,0.9551,1,3,Mother's occupation,0.8734,0.0,risk
118,0.0042,0,1,Inflation rate,0.0781,0.3,risk
118,0.0042,0,2,Curricular units 1st sem (approved),0.0238,5.0,risk
118,0.0042,0,3,Curricular units 2nd sem (enrolled),0.0068,5.0,risk
119,0.0384,0,1,Course,0.493,14.0,risk
119,0.0384,0,2,Admission grade,0.1761,130.5,risk
119,0.0384,0,3,Unemployment rate,0.1668,12.7,risk
120,0.0081,0,1,Mother's qualification,0.1749,17.0,risk
120,0.0081,0,2,Admission grade,0.1727,136.3,risk
120,0.0081,0,3,Displaced,0.1153,1.0,risk
121,0.1272,0,1,Approval_Rate_Trend,0.4106,-0.4,risk
121,0.1272,0,2,Approval_Rate_Sem2,0.3372,0.6,risk
121,0.1272,0,3,Father's occupation,0.2593,43.0,risk
122,0.9979,1,1,Approval_Rate_Sem2,1.4446,0.0,risk
122,0.9979,1,2,Total_Units_Failed,1.022,12.0,risk
122,0.9979,1,3,Curricular units 2nd sem (evaluations),0.728,0.0,risk
123,0.0934,0,1,Course,0.5319,15.0,risk
123,0.0934,0,2,Curricular units 2nd sem (grade),0.1912,10.4,risk
123,0.0934,0,3,Grade_Drop,0.1903,2.6,risk
124,0.0188,0,1,Course,0.2431,7.0,risk
124,0.0188,0,2,Curricular units 1st sem (without evaluations),0.2207,1.0,risk
124,0.0188,0,3,Admission grade,0.1301,126.3,risk
125,0.0066,0,1,Course,0.2798,14.0,risk
125,0.0066,0,2,Unemployment rate,0.1603,11.1,risk
125,0.0066,0,3,Inflation rate,0.1085,0.6,risk
126,0.0112,0,1,Unemployment rate,0.3393,15.5,risk
126,0.0112,0,2,Curricular units 1st sem (evaluations),0.1791,8.0,risk
126,0.0112,0,3,Scholarship holder,0.1629,0.0,risk
127,0.3965,0,1,Approval_Rate_Sem2,0.8826,0.4,risk
127,0.3965,0,2,Age at enrollment,0.3305,27.0,risk
127,0.3965,0,3,Course,0.3103,16.0,risk
128,0.0049,0,1,Debtor,0.2413,1.0,risk
128,0.0049,0,2,Financial_Risk_Score,0.2137,1.0,risk
128,0.0049,0,3,Avg_Grade,0.1482,11.2619,risk
129,0.0182,0,1,Mother's qualification,0.2439,17.0,risk
129,0.0182,0,2,Scholarship holder,0.1598,0.0,risk
129,0.0182,0,3,Course,0.1589,12.0,risk
130,0.9974,1,1,Tuition fees up to date,2.4267,0.0,risk
130,0.9974,1,2,Approval_Rate_Sem2,0.9833,0.0,risk
130,0.9974,1,3,Total_Units_Failed,0.6006,10.0,risk
131,0.02,0,1,Approval_Rate_Sem1,0.3431,0.6,risk
131,0.02,0,2,Curricular units 1st sem (without evaluations),0.1233,1.0,risk
131,0.02,0,3,Father's qualification,0.1189,0.0,risk
132,0.0082,0,1,Financial_Risk_Score,0.4641,1.0,risk
132,0.0082,0,2,Debtor,0.3325,1.0,risk
132,0.0082,0,3,Curricular units 1st sem (credited),0.1641,13.0,risk
133,0.9971,1,1,Approval_Rate_Sem2,1.4324,0.0,risk
133,0.9971,1,2,Total_Units_Failed,1.0159,8.0,risk
133,0.9971,1,3,Curricular units 2nd sem (evaluations),0.6436,0.0,risk
134,0.0051,0,1,Scholarship holder,0.1349,0.0,risk
134,0.0051,0,2,Unemployment rate,0.1074,12.7,risk
134,0.0051,0,3,GDP,0.082,-1.7,risk
135,0.0792,0,1,Approval_Rate_Sem2,0.702,0.3333,risk
135,0.0792,0,2,GDP,0.1518,-1.7,risk
135,0.0792,0,3,Course,0.1429,10.0,risk
136,0.0433,0,1,Inflation rate,0.2829,0.6,risk
136,0.0433,0,2,Unemployment rate,0.2586,11.1,risk
136,0.0433,0,3,Scholarship holder,0.1632,0.0,risk
137,0.9771,1,1,Tuition fees up to date,2.1343,0.0,risk
137,0.9771,1,2,Approval_Rate_Sem2,0.8801,0.1667,risk
137,0.9771,1,3,Total_Units_Failed,0.5226,6.0,risk
138,0.9739,1,1,Approval_Rate_Sem2,1.3882,0.0,risk
138,0.9739,1,2,Total_Units_Failed,0.9136,9.0,risk
138,0.9739,1,3,Curricular units 2nd sem (approved),0.4694,0.0,risk
139,0.0315,0,1,Application mode,0.2946,3.0,risk
139,0.0315,0,2,Scholarship holder,0.1729,0.0,risk
139,0.0315,0,3,Father's occupation,0.14,43.0,risk
140,0.8568,1,1,Approval_Rate_Sem2,1.0315,0.2,risk
140,0.8568,1,2,Total_Units_Failed,0.8587,8.0,risk
140,0.8568,1,3,Curricular units 2nd sem (approved),0.4589,1.0,risk
141,0.0019,0,1,Admission grade,0.2034,131.6,risk
141,0.0019,0,2,Displaced,0.1446,1.0,risk
141,0.0019,0,3,Mother's qualification,0.1295,17.0,risk
142,0.0625,0,1,Course,0.2427,10.0,risk
142,0.0625,0,2,Application mode,0.1718,4.0,risk
142,0.0625,0,3,Curricular units 2nd sem (grade),0.1493,10.4,risk
