Gender,Scholarship holder,Debtor,Tuition fees up to date,Displaced,Educational special needs,International,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Nacionality,Age at enrollment,Previous qualification (grade),Admission grade,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Approval_Rate_Sem1,Approval_Rate_Sem2,Grade_Drop,Total_Units_Failed,Total_Units_Approved,Avg_Grade,Approval_Rate_Trend,Financial_Risk_Score,Scholarship_Debtor,Total_Evaluations,Enrollment_Drop,Mature_Student
0,0,0,1,1,0,0,4,10,0,18,22,29,40,0,22,116.0,109.7,0,6,7,5,14.0,0,0,6,6,6,15.66666667,0,11.1,0.6,2.02,0.8333333333333334,1.0,-1.6666666699999997,1,11,14.833333334999999,0.16666666666666663,0,0,13,0,0
0,0,0,1,1,0,0,0,13,0,20,7,22,39,0,19,125.0,118.0,0,6,7,6,14.42857143,0,0,6,8,6,15.0,2,16.2,0.3,-0.92,1.0,1.0,-0.5714285700000001,0,12,14.714285714999999,0.0,0,0,15,0,0
0,1,0,1,1,0,0,4,9,0,6,22,29,43,0,20,120.0,113.0,0,6,7,6,11.71428571,0,0,6,8,6,12.625,0,13.9,-0.3,0.79,1.0,1.0,-0.9107142899999996,0,12,12.169642855,0.0,0,0,15,0,0
0,0,0,1,1,0,0,11,11,0,0,7,29,42,0,20,128.0,100.0,0,7,8,7,13.1,0,0,8,8,8,14.8125,0,13.9,-0.3,0.79,1.0,1.0,-1.7125000000000004,0,15,13.95625,0.0,0,0,16,-1,0
0,0,0,1,0,0,0,0,9,0,12,15,23,37,0,20,120.0,111.6,0,6,6,6,14.5,0,0,6,6,6,12.66666667,0,12.4,0.5,1.79,1.0,1.0,1.8333333300000003,0,12,13.583333334999999,0.0,0,0,12,0,0
0,1,0,1,0,0,0,0,10,0,6,0,23,41,0,22,129.0,121.0,0,6,9,6,12.83333333,0,0,6,6,4,13.25,0,16.2,0.3,-0.92,1.0,0.6666666666666666,-0.4166666699999997,2,10,13.041666665000001,-0.33333333333333337,0,0,15,0,0
0,0,1,1,1,0,0,0,0,0,6,25,29,36,0,19,135.0,143.8,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0
1,1,0,1,1,0,0,0,13,0,18,23,29,43,0,18,133.0,128.1,0,6,6,6,13.0,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,1.0,1.0,0.0,0,12,13.0,0.0,0,0,12,0,0
0,0,0,1,1,0,0,9,5,0,12,15,24,36,0,27,140.0,141.7,0,6,13,3,10.5,0,0,6,19,1,12.0,0,12.4,0.5,1.79,0.5,0.16666666666666666,-1.5,8,4,11.25,-0.33333333333333337,0,0,32,0,1
0,1,0,1,1,0,0,0,11,0,18,23,29,43,0,18,133.0,128.8,0,7,11,6,11.99444444,0,0,8,11,7,12.43142857,0,15.5,2.8,-4.06,0.8571428571428571,0.875,-0.436984129999999,2,13,12.212936505,0.017857142857142905,0,0,22,-1,0
1,0,0,1,0,0,0,0,0,0,0,0,24,38,0,18,160.0,139.7,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,0,0,1,1,0,0,0,14,0,0,7,24,38,0,18,138.0,131.7,0,6,6,6,12.83333333,0,0,6,7,6,13.28571429,0,15.5,2.8,-4.06,1.0,1.0,-0.4523809599999993,0,12,13.05952381,0.0,0,0,13,0,0
0,1,0,1,0,0,0,9,11,0,6,22,29,43,0,25,133.1,120.0,0,8,8,7,12.04285714,0,0,8,8,7,12.04285714,0,12.7,3.7,-1.7,0.875,0.875,0.0,2,14,12.04285714,0.0,0,0,16,0,1
0,0,0,1,1,0,0,3,8,0,17,22,29,43,0,20,128.0,116.5,0,5,8,4,11.6,0,0,5,10,3,12.33333333,0,7.6,2.6,0.32,0.8,0.6,-0.7333333300000007,3,7,11.966666665,-0.20000000000000007,0,0,18,0,0
0,0,0,1,0,0,0,9,15,1,17,19,0,0,0,39,133.1,115.5,0,6,12,3,12.66666667,0,0,6,14,0,0.0,1,7.6,2.6,0.32,0.5,0.0,12.66666667,9,3,6.333333335,-0.5,0,0,26,0,1
1,0,0,1,0,0,0,9,3,0,0,22,18,33,0,27,160.0,140.0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,0.0,0.0,0.0,12,0,0.0,0.0,0,0,12,0,1
1,1,0,1,0,0,0,12,3,9,0,15,29,40,0,21,130.0,130.0,0,6,15,6,11.71428571,0,0,6,8,4,11.75,0,13.9,-0.3,0.79,1.0,0.6666666666666666,-0.03571428999999959,2,10,11.732142855,-0.33333333333333337,0,0,23,0,0
1,0,0,1,1,0,0,12,7,9,12,25,22,36,0,20,110.0,110.0,0,6,15,4,10.75,0,0,6,12,2,10.5,0,13.9,-0.3,0.79,0.6666666666666666,0.3333333333333333,0.25,6,6,10.625,-0.3333333333333333,0,0,27,0,0
1,0,0,1,0,0,0,9,3,0,17,22,29,42,0,28,140.0,150.0,0,6,12,5,12.0,0,0,6,10,6,12.33333333,0,11.1,0.6,2.02,0.8333333333333334,1.0,-0.3333333300000003,1,11,12.166666665000001,0.16666666666666663,0,0,22,0,1
0,0,1,0,0,0,0,4,2,0,6,22,23,37,0,18,123.0,113.2,0,6,9,3,10.66666667,0,0,6,12,0,0.0,0,7.6,2.6,0.32,0.5,0.0,10.66666667,9,3,5.333333335,-0.5,2,0,21,0,0
0,1,0,1,1,0,0,0,14,0,0,19,29,43,0,20,130.0,124.8,0,6,7,5,12.8,0,0,6,6,6,12.33333333,0,12.4,0.5,1.79,0.8333333333333334,1.0,0.4666666700000004,1,11,12.566666665,0.16666666666666663,0,0,13,0,0
0,1,0,1,1,0,0,0,10,0,18,21,29,43,0,18,131.0,124.0,0,6,7,6,11.33333333,0,0,6,9,6,10.83333333,0,9.4,-0.8,-3.12,1.0,1.0,0.5,0,12,11.08333333,0.0,0,0,16,0,0
0,0,0,1,1,0,0,0,10,0,6,22,24,41,0,21,121.0,116.8,0,6,8,6,11.33333333,0,0,6,8,4,12.25,0,11.1,0.6,2.02,1.0,0.6666666666666666,-0.9166666699999997,2,10,11.791666665000001,-0.33333333333333337,0,0,16,0,0
0,0,0,1,1,0,0,4,11,0,17,22,25,39,0,19,142.0,131.3,0,8,8,7,14.73142857,0,0,8,8,7,14.73142857,0,10.8,1.4,1.74,0.875,0.875,0.0,2,14,14.73142857,0.0,0,0,16,0,0
0,0,1,0,0,0,0,9,13,0,17,22,29,0,0,34,130.0,158.0,0,6,7,4,13.5,0,0,6,6,0,0.0,6,12.7,3.7,-1.7,0.6666666666666666,0.0,13.5,8,4,6.75,-0.6666666666666666,2,0,13,0,1
0,0,0,0,1,0,0,0,5,0,18,22,23,43,0,18,145.0,138.4,0,6,7,6,14.83333333,0,0,6,8,6,12.5,0,8.9,1.4,3.51,1.0,1.0,2.3333333300000003,0,12,13.666666665000001,0.0,1,0,15,0,0
1,0,1,1,0,0,1,2,8,0,0,15,19,37,12,40,133.1,100.0,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,0.2,0.2,1.0,8,2,10.5,0.0,1,0,20,0,1
0,0,0,1,0,0,0,9,5,0,6,7,1,38,0,29,120.0,130.0,0,5,8,5,15.33333333,2,0,5,6,5,15.4,0,9.4,-0.8,-3.12,1.0,1.0,-0.06666667000000004,0,10,15.366666665,0.0,0,0,14,0,1
1,0,0,1,0,0,0,4,6,0,0,23,24,39,0,18,148.0,148.7,0,5,6,5,16.2,0,0,5,8,5,16.0,0,8.9,1.4,3.51,1.0,1.0,0.1999999999999993,0,10,16.1,0.0,0,0,14,0,0
0,1,0,1,1,0,0,0,13,0,0,0,29,1,0,20,133.1,103.0,0,6,8,4,11.75,0,0,6,10,6,12.66666667,0,10.8,1.4,1.74,0.6666666666666666,1.0,-0.9166666699999997,2,10,12.208333334999999,0.33333333333333337,0,0,18,0,0
0,1,0,1,0,0,0,5,14,0,0,0,23,37,0,18,135.0,129.8,0,6,6,6,12.66666667,0,0,6,6,6,11.83333333,0,12.7,3.7,-1.7,1.0,1.0,0.8333333399999994,0,12,12.25,0.0,0,0,12,0,0
1,0,0,1,0,0,0,9,11,0,17,22,29,43,0,36,137.0,141.0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,0.0,0.0,0.0,15,0,0.0,0.0,0,0,0,-1,1
1,0,1,1,1,0,0,4,6,0,18,7,27,37,0,20,130.0,119.9,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,0.0,0.0,0.0,10,0,0.0,0.0,1,0,10,0,0
0,0,0,1,0,0,0,9,3,0,6,7,29,1,0,26,130.0,140.0,6,12,13,6,13.0,0,4,12,14,11,13.83333333,0,15.5,2.8,-4.06,0.5,0.9166666666666666,-0.8333333300000003,7,17,13.416666665000001,0.41666666666666663,0,0,27,0,1
1,0,0,1,1,0,0,11,13,0,12,7,1,41,0,22,135.0,123.5,0,6,12,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,0.0,0.0,0.0,12,0,0.0,0.0,0,0,18,0,0
0,1,0,1,0,0,0,9,10,0,17,22,29,42,0,36,120.0,95.0,0,6,10,6,11.0,0,0,6,14,3,11.33333333,0,10.8,1.4,1.74,1.0,0.5,-0.3333333300000003,3,9,11.166666665000001,-0.5,0,0,24,0,1
1,0,1,0,0,0,0,9,5,0,0,0,24,38,0,31,133.1,120.0,0,5,13,4,13.5,1,0,5,12,3,11.66666667,1,9.4,-0.8,-3.12,0.8,0.6,1.8333333300000003,3,7,12.583333334999999,-0.20000000000000007,2,0,25,0,1
1,1,0,1,1,0,0,0,0,0,18,7,29,43,0,19,150.0,137.8,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
1,0,0,1,0,0,0,14,2,6,6,23,29,2,0,42,110.0,110.0,8,12,12,11,14.45454545,0,7,11,11,10,14.2,0,11.1,0.6,2.02,0.9166666666666666,0.9090909090909091,0.2545454500000002,2,21,14.327272725,-0.007575757575757569,0,0,23,1,1
0,0,0,0,0,0,0,9,14,5,17,22,29,40,0,53,133.1,110.0,0,5,5,0,0.0,0,0,4,5,0,0.0,0,15.5,2.8,-4.06,0.0,0.0,0.0,9,0,0.0,0.0,1,0,10,1,1
0,0,0,0,0,0,0,17,2,7,18,0,29,43,0,35,120.0,120.0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0.0,0.0,0.0,12,0,0.0,0.0,1,0,0,0,1
0,0,0,1,0,0,0,4,14,0,6,7,25,42,0,18,127.0,120.0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,0.0,0.0,0.0,12,0,0.0,0.0,0,0,6,0,0
0,0,0,1,1,0,0,15,9,12,17,22,29,2,0,21,140.0,136.9,5,9,10,9,12.77777778,0,4,9,9,9,13.22222222,0,8.9,1.4,3.51,1.0,1.0,-0.4444444400000016,0,18,13.0,0.0,0,0,19,0,0
0,0,0,1,1,0,0,11,7,0,19,15,23,36,0,21,125.0,125.0,0,5,6,0,0.0,5,0,5,6,4,13.75,1,10.8,1.4,1.74,0.0,0.8,-13.75,6,4,6.875,0.8,0,0,12,0,0
0,1,0,1,1,0,0,11,11,0,11,23,30,37,0,22,148.0,131.0,18,23,23,20,14.575,3,18,23,23,20,14.575,3,7.6,2.6,0.32,0.8695652173913043,0.8695652173913043,0.0,6,40,14.575,0.0,0,0,46,0,0
0,0,0,1,0,0,0,0,9,0,0,0,24,38,0,18,135.0,122.8,0,6,7,6,14.0,0,0,6,7,6,14.0,0,10.8,1.4,1.74,1.0,1.0,0.0,0,12,14.0,0.0,0,0,14,0,0
0,0,0,1,0,0,0,11,4,0,0,7,25,2,0,20,141.0,127.0,0,6,6,5,12.4,0,0,6,9,5,12.4,0,12.7,3.7,-1.7,0.8333333333333334,0.8333333333333334,0.0,2,10,12.4,0.0,0,0,15,0,0
0,0,0,1,0,0,0,9,11,0,6,7,29,41,0,31,140.0,110.5,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,0.0,0.0,0.0,15,0,0.0,0.0,0,0,0,-1,1
1,0,0,1,1,0,0,11,4,0,18,22,28,41,0,20,125.0,131.7,3,6,6,4,12.75,0,3,9,12,3,12.66666667,0,12.4,0.5,1.79,0.6666666666666666,0.3333333333333333,0.08333333000000032,8,7,12.708333334999999,-0.3333333333333333,0,0,18,-3,0
1,0,0,1,0,0,0,4,8,0,0,7,23,38,0,19,123.0,122.0,0,5,7,3,12.33333333,0,0,5,5,0,0.0,0,8.9,1.4,3.51,0.6,0.0,12.33333333,7,3,6.166666665,-0.6,0,0,12,0,0
0,0,0,1,0,0,0,9,16,0,17,22,26,40,0,39,133.1,136.2,0,5,6,5,11.0,0,0,5,9,5,11.66666667,0,10.8,1.4,1.74,1.0,1.0,-0.6666666699999997,0,10,11.333333334999999,0.0,0,0,15,0,1
0,0,0,1,1,0,0,0,5,0,21,25,22,36,0,18,151.0,144.5,0,6,7,6,15.66666667,0,0,6,6,6,14.83333333,0,8.9,1.4,3.51,1.0,1.0,0.8333333399999994,0,12,15.25,0.0,0,0,13,0,0
1,0,1,1,1,0,0,12,3,9,6,7,29,41,0,21,170.0,170.0,0,6,7,6,15.28571429,0,0,6,6,6,15.16666667,0,12.4,0.5,1.79,1.0,1.0,0.11904761999999991,0,12,15.22619048,0.0,1,0,13,0,0
0,0,0,1,0,0,0,9,3,0,6,7,29,43,0,30,133.1,100.0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,0.0,0.0,0.0,12,0,0.0,0.0,0,0,12,0,1
0,0,0,1,0,0,0,0,9,0,18,23,25,41,0,19,135.0,121.0,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,7.6,2.6,0.32,0.5,0.5,0.0,6,6,10.33333333,0.0,0,0,25,0,0
1,0,1,0,1,0,0,5,6,0,6,0,30,37,0,24,122.0,116.1,0,5,8,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,0.0,0.0,0.0,10,0,0.0,0.0,2,0,13,0,0
0,0,0,1,0,0,0,17,4,13,17,0,29,41,0,33,140.0,140.0,0,6,7,6,15.0,0,0,6,8,3,11.0,0,11.1,0.6,2.02,1.0,0.5,4.0,3,9,13.0,-0.5,0,0,15,0,1
0,1,0,1,0,0,0,0,11,0,0,22,24,43,0,18,140.0,128.0,0,7,7,6,14.06666667,0,0,7,7,6,14.06666667,0,7.6,2.6,0.32,0.8571428571428571,0.8571428571428571,0.0,2,12,14.06666667,0.0,0,0,14,0,0
0,1,0,1,1,0,0,0,5,0,17,0,29,43,0,18,162.0,165.2,0,5,6,4,15.75,0,0,5,5,5,13.8,0,10.8,1.4,1.74,0.8,1.0,1.9499999999999993,1,9,14.775,0.19999999999999996,0,0,11,0,0
0,1,0,1,1,0,0,0,9,0,18,23,28,41,0,19,115.0,112.9,0,6,7,6,11.85714286,0,0,6,8,6,13.14285714,0,12.4,0.5,1.79,1.0,1.0,-1.2857142800000005,0,12,12.5,0.0,0,0,15,0,0
0,1,0,1,0,0,0,11,10,0,18,23,29,43,0,19,142.0,125.9,0,6,0,0,0.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,0.0,0.16666666666666666,-10.0,11,1,5.0,0.16666666666666666,0,0,11,0,0
0,0,0,1,1,0,0,4,9,0,18,23,25,41,0,20,145.0,138.0,0,6,11,5,11.2,0,0,6,6,6,12.0,0,9.4,-0.8,-3.12,0.8333333333333334,1.0,-0.8000000000000007,1,11,11.6,0.16666666666666663,0,0,17,0,0
0,0,0,0,1,0,0,9,10,16,14,19,0,0,0,28,133.1,110.0,0,5,10,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,0.0,0.0,0.0,10,0,0.0,0.0,1,0,20,0,1
0,0,0,1,1,0,0,0,11,0,6,7,29,43,0,19,126.0,125.0,0,7,8,6,11.65833333,0,0,8,11,6,12.41666667,0,12.4,0.5,1.79,0.8571428571428571,0.75,-0.7583333400000001,3,12,12.0375,-0.1071428571428571,0,0,19,-1,0
0,1,0,1,1,0,0,4,11,0,6,23,25,43,0,20,127.0,129.5,0,7,7,6,12.33333333,0,0,7,7,6,12.33333333,0,7.6,2.6,0.32,0.8571428571428571,0.8571428571428571,0.0,2,12,12.33333333,0.0,0,0,14,0,0
0,0,0,1,0,0,1,2,7,0,0,0,24,38,18,26,133.1,100.0,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,0.3333333333333333,0.0,12.0,10,2,6.0,-0.3333333333333333,0,0,13,0,1
0,0,0,0,0,0,0,4,10,0,0,0,24,38,0,18,122.0,126.6,0,5,5,5,10.4,0,0,6,13,0,0.0,0,10.8,1.4,1.74,1.0,0.0,10.4,6,5,5.2,-1.0,1,0,18,-1,0
0,0,0,1,0,0,0,10,8,0,17,22,29,43,0,41,110.0,128.2,8,14,24,11,12.25,3,5,10,12,10,13.4,0,9.4,-0.8,-3.12,0.7857142857142857,1.0,-1.1500000000000004,3,21,12.825,0.2142857142857143,0,0,36,4,1
0,0,0,1,1,0,0,4,11,0,0,7,24,42,0,19,148.0,130.2,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,0.0,0.0,0.0,15,0,0.0,0.0,0,0,0,-1,0
1,1,0,1,1,0,0,0,14,0,6,7,29,43,0,18,130.0,126.9,0,6,6,6,14.0,0,0,6,6,6,14.16666667,0,9.4,-0.8,-3.12,1.0,1.0,-0.16666666999999968,0,12,14.083333334999999,0.0,0,0,12,0,0
0,1,1,1,0,0,0,13,5,0,17,22,0,44,0,18,143.0,159.1,0,5,5,5,14.4,0,0,5,5,5,14.0,0,7.6,2.6,0.32,1.0,1.0,0.40000000000000036,0,10,14.2,0.0,1,1,10,0,0
0,0,0,1,1,0,0,0,9,0,18,23,0,41,0,19,136.0,133.2,0,6,8,5,11.0,0,0,6,13,5,11.4,0,7.6,2.6,0.32,0.8333333333333334,0.8333333333333334,-0.40000000000000036,2,10,11.2,0.0,0,0,21,0,0
0,1,0,1,0,0,0,9,2,0,17,22,29,43,0,43,140.0,128.0,0,6,7,6,12.33333333,0,0,6,8,6,11.5,0,8.9,1.4,3.51,1.0,1.0,0.8333333300000003,0,12,11.916666665000001,0.0,0,0,15,0,1
1,0,0,1,1,0,0,4,8,0,12,23,23,41,0,18,120.0,124.2,0,5,13,5,12.0,0,0,5,9,4,11.4,0,13.9,-0.3,0.79,1.0,0.8,0.5999999999999996,1,9,11.7,-0.19999999999999996,0,0,22,0,0
0,1,0,1,1,0,0,4,11,0,0,22,29,43,0,19,137.0,128.4,0,7,7,7,13.38571429,0,0,8,8,8,15.925,0,13.9,-0.3,0.79,1.0,1.0,-2.5392857100000015,0,15,14.655357145,0.0,0,0,15,-1,0
0,0,1,1,1,0,0,4,13,0,17,7,25,42,0,18,124.0,114.2,0,6,6,5,11.8,0,0,6,9,4,13.71428571,0,10.8,1.4,1.74,0.8333333333333334,0.6666666666666666,-1.9142857099999997,3,9,12.757142855000001,-0.16666666666666674,1,0,15,0,0
1,0,0,1,0,0,0,9,3,5,20,0,22,38,0,25,133.1,120.0,0,3,4,0,0.0,0,0,3,5,0,0.0,0,16.2,0.3,-0.92,0.0,0.0,0.0,6,0,0.0,0.0,0,0,9,0,1
0,0,0,1,1,0,0,4,14,0,0,7,25,39,0,18,126.0,119.0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,0.0,0.0,0.0,12,0,0.0,0.0,0,0,0,0,0
1,0,0,1,1,0,0,10,3,9,12,0,22,40,0,24,120.0,128.2,4,9,13,8,13.33333333,0,5,10,12,9,13.11111111,0,16.2,0.3,-0.92,0.8888888888888888,0.9,0.2222222200000008,2,17,13.222222219999999,0.011111111111111183,0,0,25,-1,0
0,1,0,1,1,0,0,4,14,0,6,23,29,41,0,21,120.0,117.9,0,6,6,5,13.0,0,0,6,7,6,12.83333333,0,8.9,1.4,3.51,0.8333333333333334,1.0,0.16666666999999968,1,11,12.916666665000001,0.16666666666666663,0,0,13,0,0
0,0,0,1,0,0,0,9,16,0,17,22,29,43,0,29,133.1,109.7,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,0.0,0.0,0.0,10,0,0.0,0.0,0,0,0,0,1
1,0,0,1,1,0,0,11,11,5,14,19,0,0,0,27,133.1,110.0,0,7,7,0,0.0,6,0,7,7,0,0.0,6,7.6,2.6,0.32,0.0,0.0,0.0,14,0,0.0,0.0,0,0,14,0,1
0,0,0,1,1,0,0,0,5,0,6,23,29,39,0,18,135.0,136.8,0,5,11,5,14.0,3,0,5,7,5,11.6,0,9.4,-0.8,-3.12,1.0,1.0,2.4000000000000004,0,10,12.8,0.0,0,0,18,0,0
1,0,0,0,0,0,0,9,9,0,17,14,0,38,0,32,133.1,120.5,0,6,10,2,11.0,0,0,6,12,0,0.0,0,7.6,2.6,0.32,0.3333333333333333,0.0,11.0,10,2,5.5,-0.3333333333333333,1,0,22,0,1
1,0,1,0,0,0,0,9,3,0,17,22,24,41,0,32,133.1,130.0,0,6,8,3,13.0,0,4,10,14,6,11.42857143,0,16.2,0.3,-0.92,0.5,0.6,1.5714285700000001,7,9,12.214285714999999,0.09999999999999998,2,0,22,-4,1
0,1,0,1,0,0,0,0,11,0,3,0,25,2,0,19,126.0,120.2,0,7,9,5,14.06,0,0,7,9,7,11.24285714,0,12.4,0.5,1.79,0.7142857142857143,1.0,2.8171428600000006,2,12,12.65142857,0.2857142857142857,0,0,18,0,0
0,0,0,1,0,0,1,1,13,0,17,22,29,43,13,20,148.9,148.9,0,5,6,5,11.6,0,0,5,6,4,11.5,0,9.4,-0.8,-3.12,1.0,0.8,0.09999999999999964,1,9,11.55,-0.19999999999999996,0,0,12,0,0
0,0,0,1,1,0,0,4,8,0,0,7,24,39,0,21,131.0,120.2,0,5,10,4,11.75,0,0,5,6,5,11.6,0,12.4,0.5,1.79,0.8,1.0,0.15000000000000036,1,9,11.675,0.19999999999999996,0,0,16,0,0
0,0,0,1,1,0,0,12,5,9,12,15,24,36,0,19,140.0,140.0,0,6,8,4,14.4,0,0,6,6,5,13.0,0,13.9,-0.3,0.79,0.6666666666666666,0.8333333333333334,1.4000000000000004,3,9,13.7,0.16666666666666674,0,0,14,0,0
1,0,0,1,1,0,0,4,4,0,17,23,29,39,0,18,127.0,131.2,0,6,6,6,11.83333333,0,0,6,6,6,13.16666667,0,7.6,2.6,0.32,1.0,1.0,-1.3333333399999994,0,12,12.5,0.0,0,0,12,0,0
0,0,0,1,1,0,0,9,5,0,6,22,29,40,0,26,133.1,130.0,0,6,17,6,12.66666667,0,0,6,21,4,12.25,0,15.5,2.8,-4.06,1.0,0.6666666666666666,0.4166666699999997,2,10,12.458333334999999,-0.33333333333333337,0,0,38,0,1
0,0,0,1,0,0,0,4,11,0,12,15,22,37,0,19,145.0,141.8,0,8,8,8,13.3475,0,0,8,8,8,13.3475,0,9.4,-0.8,-3.12,1.0,1.0,0.0,0,16,13.3475,0.0,0,0,16,0,0
0,0,0,1,0,0,0,9,16,0,17,22,29,41,0,27,150.0,150.0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,0.0,0.0,0.0,10,0,0.0,0.0,0,0,0,0,1
0,1,0,1,1,0,0,0,14,0,0,7,24,41,0,19,116.0,127.6,0,6,7,6,13.85714286,0,0,6,7,6,13.14285714,0,13.9,-0.3,0.79,1.0,1.0,0.7142857199999995,0,12,13.5,0.0,0,0,14,0,0
1,0,0,1,1,0,0,0,11,0,6,0,29,43,0,18,149.0,137.8,0,8,8,7,13.0,0,0,8,8,7,13.0,0,12.7,3.7,-1.7,0.875,0.875,0.0,2,14,13.0,0.0,0,0,16,0,0
